Store,Store_type,Store_assortment,Sales,Customers,Promos,Year,Month,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
7,1,3,188032,20936,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
7,1,3,178830,19908,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
7,1,3,213082,22730,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
7,1,3,197381,22177,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
7,1,3,210921,23722,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
7,1,3,211771,23735,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
7,1,3,276280,30181,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
7,1,3,258366,29852,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
7,1,3,201378,22894,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
7,1,3,207787,23162,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
7,1,3,218175,23099,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
7,1,3,251928,24811,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,122293,15332,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
8,1,1,119828,14535,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
8,1,1,135408,15811,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
8,1,1,127236,15403,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
8,1,1,126886,15297,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
8,1,1,122294,14920,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
8,1,1,131851,15863,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
8,1,1,132623,16574,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
8,1,1,118940,15087,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
8,1,1,125579,15904,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
8,1,1,132208,15988,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
8,1,1,147117,16398,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
9,1,3,127016,11774,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,3,126826,11640,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
9,1,3,143583,12893,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
9,1,3,136194,12730,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
9,1,3,136540,12389,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
9,1,3,134549,12633,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
9,1,3,164486,14514,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
9,1,3,150647,13772,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
9,1,3,141926,13184,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
9,1,3,150510,14005,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
9,1,3,151174,13485,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
9,1,3,174563,14989,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
10,1,1,130042,14419,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
10,1,1,122956,13910,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
10,1,1,133609,14798,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
10,1,1,131040,14877,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
10,1,1,130642,14447,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
10,1,1,136334,14750,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
10,1,1,140742,14961,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
10,1,1,143977,16104,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
10,1,1,127694,14356,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
10,1,1,133045,14792,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
10,1,1,143394,15209,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
10,1,1,153960,15969,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
11,1,3,190839,28124,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
11,1,3,184523,26596,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
11,1,3,223644,30223,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
11,1,3,189491,28107,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
11,1,3,191123,27917,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
11,1,3,189908,27778,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
11,1,3,214828,29964,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
11,1,3,219462,33342,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
11,1,3,179773,27283,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
11,1,3,186272,27084,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
11,1,3,229122,31202,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
11,1,3,309290,38067,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
12,1,3,173463,21262,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
12,1,3,163685,19938,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
12,1,3,206639,23143,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
12,1,3,179129,21853,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
12,1,3,176205,21319,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
12,1,3,179118,22156,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
12,1,3,194338,23201,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
12,1,3,201151,25081,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
12,1,3,170648,20909,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
12,1,3,181609,22203,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
12,1,3,202947,23533,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
12,1,3,231971,26345,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
14,1,1,132544,15773,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,1,126643,14854,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
14,1,1,144258,16419,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
14,1,1,132499,15794,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
14,1,1,131501,15289,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
14,1,1,132249,15470,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
14,1,1,150115,17238,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
14,1,1,130518,15526,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
14,1,1,124327,14927,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
14,1,1,132883,15930,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
14,1,1,136567,15848,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
14,1,1,157927,17348,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
15,4,3,151895,15553,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
15,4,3,145423,14957,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
15,4,3,176328,17214,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
15,4,3,153697,16078,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
15,4,3,158928,16248,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
15,4,3,156117,16086,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
15,4,3,174957,17608,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
15,4,3,180886,18810,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
15,4,3,153994,16094,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
15,4,3,152617,15791,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
15,4,3,171804,17179,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
15,4,3,198386,18449,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
16,1,3,167566,19990,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1,3,158559,18433,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
16,1,3,189391,21036,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
16,1,3,173871,20621,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
16,1,3,170081,19003,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
16,1,3,175008,20262,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
16,1,3,208593,23323,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
16,1,3,179006,19735,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
16,1,3,178185,20816,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
16,1,3,187293,21929,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
16,1,3,188926,21515,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
16,1,3,220213,22574,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
17,1,1,152760,19655,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
17,1,1,143688,18559,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
17,1,1,173696,21171,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
17,1,1,154036,20040,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
17,1,1,151317,19909,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
17,1,1,142347,18842,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
17,1,1,179846,22422,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
17,1,1,160208,21344,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
17,1,1,147425,19695,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
17,1,1,154739,20132,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
17,1,1,164403,20584,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
17,1,1,204524,23216,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
18,4,3,141363,16692,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
18,4,3,136033,15820,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
18,4,3,164240,18215,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
18,4,3,140814,16307,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
18,4,3,147531,16990,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
18,4,3,143974,16543,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
18,4,3,168541,18454,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
18,4,3,166140,18962,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
18,4,3,145304,17079,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
18,4,3,151500,17254,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
18,4,3,167669,18605,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
18,4,3,198122,19614,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
19,1,3,142405,14676,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
19,1,3,142545,14417,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
19,1,3,160187,15710,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
19,1,3,141304,14641,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
19,1,3,150166,14940,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
19,1,3,145141,14508,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
19,1,3,165866,16260,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
19,1,3,153606,15165,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
19,1,3,144069,15153,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
19,1,3,148290,15339,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
19,1,3,156607,15461,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
19,1,3,177341,16457,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
21,3,3,129984,12941,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
21,3,3,112884,11560,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
21,3,3,141865,14197,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
21,3,3,127896,12812,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
21,3,3,122331,12277,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
21,3,3,122195,12303,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
21,3,3,149023,14006,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
21,3,3,125967,12389,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
21,3,3,127918,12727,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
21,3,3,130910,13081,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
21,3,3,130061,12568,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
21,3,3,157263,14291,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
23,4,1,132385,11756,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
23,4,1,128608,11392,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
23,4,1,148676,12992,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
23,4,1,129598,11661,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
23,4,1,135017,11955,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
23,4,1,124591,11196,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
23,4,1,146600,12527,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
23,4,1,138804,12580,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
23,4,1,122877,11085,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
23,4,1,131274,11698,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
23,4,1,141438,12054,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
23,4,1,172918,14142,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
24,1,3,211069,19742,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
24,1,3,208675,19170,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
24,1,3,243457,21722,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
24,1,3,219025,20521,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
24,1,3,220720,20337,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
24,1,3,216366,20202,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
24,1,3,249329,22576,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
24,1,3,228856,21388,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
24,1,3,210762,20130,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
24,1,3,217500,20548,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
24,1,3,228936,20601,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
24,1,3,293351,24336,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
25,3,1,279981,41373,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
25,3,1,256058,36993,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
25,3,1,302119,43067,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
25,3,1,334527,47263,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
25,3,1,314546,43828,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
25,3,1,265370,38478,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
25,3,1,308440,43280,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
25,3,1,272573,38385,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
25,3,1,257732,38269,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
25,3,1,274544,40624,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
25,3,1,283487,40884,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
25,3,1,316610,42861,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
26,4,1,151230,13020,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
26,4,1,141494,12025,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
26,4,1,175687,14627,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
26,4,1,153940,13254,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
26,4,1,164290,13953,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
26,4,1,148291,12896,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
26,4,1,179680,14957,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
26,4,1,166161,14575,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
26,4,1,146721,12896,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
26,4,1,147840,12870,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
26,4,1,165733,13911,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
26,4,1,209683,16087,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
27,1,1,226004,26686,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
27,1,1,203744,24497,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
27,1,1,245175,28414,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
27,1,1,219189,26417,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
27,1,1,218839,25548,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
27,1,1,212528,25748,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
27,1,1,263471,29923,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
27,1,1,234391,27546,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
27,1,1,212316,25295,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
27,1,1,221174,26356,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
27,1,1,230313,26960,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
27,1,1,300169,33157,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
28,1,1,135013,15343,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
28,1,1,125013,14161,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
28,1,1,146206,16047,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
28,1,1,131917,15090,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
28,1,1,133899,15069,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
28,1,1,128870,14704,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
28,1,1,151673,16959,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
28,1,1,140691,16087,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
28,1,1,128954,14794,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
28,1,1,129759,14909,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
28,1,1,142798,15355,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
28,1,1,175981,17147,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
29,4,3,150114,13849,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
29,4,3,149329,13506,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
29,4,3,171821,15400,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
29,4,3,153148,14164,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
29,4,3,148089,13564,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
29,4,3,146216,13491,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
29,4,3,178610,15894,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
29,4,3,165004,15563,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
29,4,3,155499,14933,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
29,4,3,166356,15922,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
29,4,3,170890,15516,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
29,4,3,201456,17232,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
30,1,1,153641,22770,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
30,1,1,135816,19980,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
30,1,1,162196,23326,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
30,1,1,150062,22457,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
30,1,1,150177,21716,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
30,1,1,143377,21582,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
30,1,1,170321,24050,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
30,1,1,154836,23083,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
30,1,1,138834,21236,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
30,1,1,140421,21992,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
